[2026-08-28 10:10:35] ,-1,0,0,18
[2026-08-28 10:10:35] ms,energy,r1600,r2000,r2400,r280ms,energy,r1600,r2000,r2400,r2800,best,tone,armed,move,dropped
[2026-08-28 10:10:41] 4261,2,0.010,0.000,0.010,0.000,0,-1,0,0,20
[2026-08-28 10:10:41] 4293,1,0.005,0.005,0.005,0.005,1,-1,0,0,20
[2026-08-28 10:10:41] 4318,0,0.000,0.000,0.000,0.000,-1,-1,0,0,20
[2026-08-28 10:10:41] 4348,2,0.007,0.005,0.003,0.002,0,-1,0,0,20
[2026-08-28 10:10:41] 4373,0,0.000,0.000,0.000,0.000,-1,-1,0,0,21
[2026-08-28 10:10:41] 4398,0,0.000,0.000,0.000,0.000,-1,-1,0,0,21
[2026-08-28 10:10:41] 4428,2,0.007,0.000,0.007,0.009,3,-1,0,0,21
[2026-08-28 10:10:41] 4456,1,0.005,0.005,0.005,0.005,3,-1,0,0,21
[2026-08-28 10:10:41] 4487,1,0.005,0.005,0.005,0.005,1,-1,0,0,21
[2026-08-28 10:10:41] 4511,0,0.000,0.000,0.000,0.000,-1,-1,0,0,21
[2026-08-28 10:10:41] 4537,0,0.000,0.000,0.000,0.000,-1,-1,0,0,21
[2026-08-28 10:10:42] 4563,2,0.007,0.000,0.007,0.009,3,-1,0,0,21
[2026-08-28 10:10:42] 4594,6,0.007,0.008,0.000,0.000,1,-1,0,0,21
[2026-08-28 10:10:42] 4623,1,0.005,0.005,0.005,0.005,3,-1,0,0,21
[2026-08-28 10:10:42] 4649,3,0.010,0.008,0.006,0.004,0,-1,0,0,22
[2026-08-28 10:10:42] 4681,4,0.000,0.002,0.003,0.001,2,-1,0,0,22
[2026-08-28 10:10:42] 4706,0,0.000,0.000,0.000,0.000,-1,-1,0,0,22
[2026-08-28 10:10:42] 4737,1,0.005,0.005,0.005,0.005,1,-1,0,0,22
[2026-08-28 10:10:42] 4765,2,0.001,0.000,0.001,0.003,3,-1,0,0,22
[2026-08-28 10:10:42] 4797,1,0.005,0.005,0.005,0.005,1,-1,0,0,22
[2026-08-28 10:10:42] 4825,1,0.005,0.005,0.005,0.005,3,-1,0,0,22
[2026-08-28 10:10:42] 4851,1,0.005,0.005,0.005,0.005,3,-1,0,0,23
[2026-08-28 10:10:42] 4881,5,0.004,0.005,0.002,0.004,1,-1,0,0,23
[2026-08-28 10:10:42] 4905,0,0.000,0.000,0.000,0.000,-1,-1,0,0,23
[2026-08-28 10:10:42] 4932,2,0.007,0.010,0.007,0.001,1,-1,0,0,23
[2026-08-28 10:10:42] 4957,0,0.000,0.000,0.000,0.000,-1,-1,0,0,23
[2026-08-28 10:10:42] 4987,1,0.005,0.005,0.005,0.005,1,-1,0,0,23
[2026-08-28 10:10:42] 5016,3,0.010,0.008,0.002,0.000,0,-1,0,0,23
[2026-08-28 10:10:42] 5043,1,0.005,0.005,0.005,0.005,3,-1,0,0,23
[2026-08-28 10:10:42] 5070,2,0.007,0.005,0.003,0.002,0,-1,0,0,23
[2026-08-28 10:10:42] 5097,5,0.001,0.001,0.005,0.006,3,-1,0,0,23
[2026-08-28 10:10:42] 5122,0,0.000,0.000,0.000,0.000,-1,-1,0,0,24
[2026-08-28 10:10:42] 5150,2,0.001,0.005,0.009,0.010,3,-1,0,0,24
[2026-08-28 10:10:42] 5182,4,0.009,0.003,0.000,0.007,0,-1,0,0,24
[2026-08-28 10:10:42] 5211,1,0.005,0.005,0.005,0.005,3,-1,0,0,24
[2026-08-28 10:10:42] 5240,1,0.005,0.005,0.005,0.005,3,-1,0,0,24
[2026-08-28 10:10:42] 5269,2,0.007,0.005,0.003,0.008,3,-1,0,0,24
[2026-08-28 10:10:42] 5300,6,0.007,0.008,0.009,0.006,2,-1,0,0,24
[2026-08-28 10:10:42] 5324,0,0.000,0.000,0.000,0.000,-1,-1,0,0,25
[2026-08-28 10:10:42] 5349,0,0.000,0.000,0.000,0.000,-1,-1,0,0,25
[2026-08-28 10:10:42] 5381,7,0.009,0.006,0.006,0.002,0,-1,0,0,25
[2026-08-28 10:10:42] 5409,3,0.010,0.002,0.002,0.010,0,-1,0,0,25
[2026-08-28 10:10:42] 5434,0,0.000,0.000,0.000,0.000,-1,-1,0,0,25
[2026-08-28 10:10:42] 5463,4,0.003,0.003,0.000,0.008,3,-1,0,0,25
[2026-08-28 10:10:42] 5489,1,0.005,0.005,0.005,0.005,3,-1,0,0,25
[2026-08-28 10:10:42] 5518,2,0.001,0.005,0.009,0.000,2,-1,0,0,25
[2026-08-28 10:10:42] 5549,7,0.001,0.004,0.002,0.001,1,-1,0,0,25
[2026-08-28 10:10:43] 5577,1,0.005,0.005,0.005,0.005,3,-1,0,0,26
[2026-08-28 10:10:43] 5606,1,0.005,0.005,0.005,0.005,3,-1,0,0,26
[2026-08-28 10:10:43] 5633,3,0.001,0.008,0.011,0.002,2,-1,0,0,26
[2026-08-28 10:10:43] 5661,2,0.007,0.000,0.007,0.009,3,-1,0,0,26
[2026-08-28 10:10:43] 5688,1,0.005,0.005,0.005,0.005,3,-1,0,0,26
[2026-08-28 10:10:43] 5712,0,0.000,0.000,0.000,0.000,-1,-1,0,0,26
[2026-08-28 10:10:43] 5737,0,0.000,0.000,0.000,0.000,-1,-1,0,0,26
[2026-08-28 10:10:43] 5763,0,0.000,0.000,0.000,0.000,-1,-1,0,0,26
[2026-08-28 10:10:43] 5787,0,0.000,0.000,0.000,0.000,-1,-1,0,0,26
[2026-08-28 10:10:43] 5815,1,0.005,0.005,0.005,0.005,3,-1,0,0,26
[2026-08-28 10:10:43] 5846,4,0.009,0.002,0.000,0.007,0,-1,0,0,26
[2026-08-28 10:10:43] 5874,2,0.001,0.005,0.009,0.010,3,-1,0,0,26
[2026-08-28 10:10:43] 5906,3,0.003,0.002,0.002,0.007,3,-1,0,0,27
[2026-08-28 10:10:43] 5937,7,0.000,0.021,0.002,0.008,1,-1,0,0,27
[2026-08-28 10:10:43] 5965,2,0.001,0.005,0.009,0.010,3,-1,0,0,27
[2026-08-28 10:10:43] 5996,1,0.005,0.005,0.005,0.005,1,-1,0,0,27
[2026-08-28 10:10:43] 6025,1,0.005,0.005,0.005,0.005,1,-1,0,0,27
[2026-08-28 10:10:43] 6056,2,0.001,0.000,0.001,0.003,3,-1,0,0,28
[2026-08-28 10:10:43] 6087,6,0.003,0.007,0.005,0.009,3,-1,0,0,28
[2026-08-28 10:10:43] 6112,0,0.000,0.000,0.000,0.000,-1,-1,0,0,28
[2026-08-28 10:10:43] 6136,0,0.000,0.000,0.000,0.000,-1,-1,0,0,28
[2026-08-28 10:10:43] 6165,3,0.004,0.008,0.000,0.006,1,-1,0,0,28
[2026-08-28 10:10:43] 6196,2,0.007,0.005,0.003,0.002,0,-1,0,0,28
[2026-08-28 10:10:43] 6220,0,0.000,0.000,0.000,0.000,-1,-1,0,0,28
[2026-08-28 10:10:43] 6247,3,0.010,0.008,0.002,0.000,0,-1,0,0,28
[2026-08-28 10:10:43] 6276,1,0.005,0.005,0.005,0.005,3,-1,0,0,29
[2026-08-28 10:10:43] 6300,0,0.000,0.000,0.000,0.000,-1,-1,0,0,29
[2026-08-28 10:10:43] 6331,3,0.003,0.015,0.003,0.010,1,-1,0,0,29
[2026-08-28 10:10:43] 6355,0,0.000,0.000,0.000,0.000,-1,-1,0,0,29
[2026-08-28 10:10:43] 6380,0,0.000,0.000,0.000,0.000,-1,-1,0,0,29
